t_s,theta_e_rad,ia_a,ib_a,ic_a,torque_nm,pcu_w,pfe_w,ppm_w,ploss_w,temp_c
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.299038105676658006e+01,1.299038105676658006e+01,5.595379709507132884e-03,7.570901250000000005e+01,1.840787402392592420e-01,2.761181103588888561e-02,7.592070305127514018e+01,2.500000486671173405e+01
1.666666666666666611e-04,1.745329251994329478e-01,2.604722665003954774e+00,-1.409538931178862597e+01,1.149066664678467475e+01,4.170617956023309897e-02,7.570901392011866449e+01,2.024684148380116455e-01,3.037026222570174405e-02,7.594185259718237546e+01,2.500000973477851574e+01
3.333333333333333222e-04,3.490658503988658956e-01,5.130302149885030971e+00,-1.477211629518312108e+01,9.641814145298091887e+00,2.973252128310432951e-02,7.570901534063273175e+01,2.347930310481952942e-01,3.521895465722929552e-02,7.597902732633815504e+01,2.500001460522759800e+01
5.000000000000000104e-04,5.235987755982988157e-01,7.499999999999999112e+00,-1.500000000000000000e+01,7.500000000000005329e+00,7.206510541198201877e-03,7.570901676184193718e+01,2.363261110367508300e-01,3.544891665551262033e-02,7.598079178953419444e+01,2.500001947578909522e+01
6.666666666666666444e-04,6.981317007977317912e-01,9.641814145298088334e+00,-1.477211629518312108e+01,5.130302149885032748e+00,-5.617551955855538091e-03,7.570901818308394127e+01,2.313283270963729932e-01,3.469924906445594898e-02,7.597504575924477876e+01,2.500002434598156142e+01
8.333333333333332784e-04,8.726646259971647668e-01,1.149066664678466942e+01,-1.409538931178862420e+01,2.604722665003960547e+00,-4.509912627792304202e-02,7.570901960421826971e+01,1.996697860270504887e-01,2.995046790405757331e-02,7.593863985814937223e+01,2.500002921383962118e+01
1.000000000000000021e-03,1.047197551196597631e+00,1.299038105676657828e+01,-1.299038105676657828e+01,1.836970198721029983e-15,1.818571844195939965e-02,7.570902102467142925e+01,1.714526016132870145e-01,2.571789024199305079e-02,7.590619151652670382e+01,2.500003407961696666e+01
1.166666666666666546e-03,1.221730476396030607e+00,1.409538931178862420e+01,-1.149066664678466765e+01,-2.604722665003950333e+00,7.208760595374540114e-02,7.570902244451740160e+01,1.965817553664522821e-01,2.948726330496784231e-02,7.593509146318882586e+01,2.500003894724618192e+01
1.333333333333333289e-03,1.396263401595463582e+00,1.477211629518312108e+01,-9.641814145298088334e+00,-5.130302149885022978e+00,2.799582363911366084e-02,7.570902386490378433e+01,2.277108682894030678e-01,3.415663024341045878e-02,7.597089136343660698e+01,2.500004381716956914e+01
1.500000000000000031e-03,1.570796326794896558e+00,1.500000000000000000e+01,-7.499999999999997335e+00,-7.499999999999995559e+00,-4.790309017891057099e-03,7.570902528595959780e+01,2.522890410811879924e-01,3.784335616217819609e-02,7.599915768320296650e+01,2.500004868890420440e+01
1.666666666666666557e-03,1.745329251994329534e+00,1.477211629518312108e+01,-5.130302149885028307e+00,-9.641814145298088334e+00,9.313550846308771627e-03,7.570902670754395558e+01,2.493388610117209525e-01,3.740082915175814426e-02,7.599576639770744180e+01,2.500005356042075633e+01
1.833333333333333299e-03,1.919862177193762509e+00,1.409538931178862597e+01,-2.604722665003952109e+00,-1.149066664678466765e+01,-2.072138094474073114e-02,7.570902812906464874e+01,2.129386335338990799e-01,3.194079503008485921e-02,7.595390755762862511e+01,2.500005842925335386e+01
2.000000000000000042e-03,2.094395102393195263e+00,1.299038105676658006e+01,0.000000000000000000e+00,-1.299038105676657651e+01,1.549117341852324081e-02,7.570902954980216748e+01,1.797908728737070694e-01,2.696863093105605902e-02,7.591578905360692886e+01,2.500006329564176610e+01
2.166666666666666567e-03,2.268928027592628460e+00,1.149066664678466942e+01,2.604722665003958770e+00,-1.409538931178862597e+01,5.134304357483537862e-02,7.570903096982650027e+01,2.083659844819611140e-01,3.125489767229416849e-02,7.594865185198075608e+01,2.500006816413607424e+01
2.333333333333333093e-03,2.443460952792061214e+00,9.641814145298091887e+00,5.130302149885031859e+00,-1.477211629518312108e+01,1.571006319869804047e-02,7.570903239046532462e+01,2.388949258340053450e-01,3.583423887510080175e-02,7.598376155517442498e+01,2.500007303488030885e+01
2.500000000000000052e-03,2.617993877991494411e+00,7.499999999999999112e+00,7.500000000000003553e+00,-1.500000000000000000e+01,3.231607980124534974e-03,7.570903381176067626e+01,2.645215912827614257e-01,3.967823869241421386e-02,7.601323364173585162e+01,2.500007790751308789e+01
2.666666666666666578e-03,2.792526803190927165e+00,5.130302149885032748e+00,9.641814145298090111e+00,-1.477211629518312108e+01,-1.824920493879932104e-02,7.570903523360709642e+01,2.593264006275543543e-01,3.889896009413314898e-02,7.600726059432878401e+01,2.500008277976228399e+01
2.833333333333333103e-03,2.967059728390359918e+00,2.604722665003960547e+00,1.149066664678466765e+01,-1.409538931178862775e+01,-3.090492974838318987e-02,7.570903665534157767e+01,2.205278159523381409e-01,3.307917239285072114e-02,7.596264364368676070e+01,2.500008764915072490e+01
3.000000000000000062e-03,3.141592653589793116e+00,1.836970198721029983e-15,1.299038105676658006e+01,-1.299038105676658539e+01,4.176078055478289232e-03,7.570903807624134174e+01,1.843433002112138119e-01,2.765149503168207179e-02,7.592103287148422908e+01,2.500009251587111692e+01
3.166666666666666588e-03,3.316125578789225870e+00,-2.604722665003950333e+00,1.409538931178862420e+01,-1.149066664678468008e+01,4.888794735546631021e-02,7.570903949636250729e+01,2.020963717583551811e-01,3.031445576375327647e-02,7.594145032388462369e+01,2.500009738389962521e+01
3.333333333333333114e-03,3.490658503988659067e+00,-5.130302149885030083e+00,1.477211629518312108e+01,-9.641814145298093663e+00,3.224232814071981146e-02,7.570904091686539061e+01,2.347581354682120036e-01,3.521372032023179638e-02,7.597901277265383158e+01,2.500010225433528888e+01
3.500000000000000073e-03,3.665191429188091821e+00,-7.499999999999995559e+00,1.500000000000000000e+01,-7.500000000000007105e+00,1.492045815131985004e-02,7.570904233807067385e+01,2.362726373943248581e-01,3.544089560914872455e-02,7.598075587107413753e+01,2.500010712488199616e+01
3.666666666666666598e-03,3.839724354387525018e+00,-9.641814145298088334e+00,1.477211629518312108e+01,-5.130302149885029195e+00,-7.189194893982853336e-03,7.570904375930835783e+01,2.315048977497437543e-01,3.472573466246155899e-02,7.597527439172056063e+01,2.500011199507663306e+01
3.833333333333333124e-03,4.014257279586957772e+00,-1.149066664678466765e+01,1.409538931178862597e+01,-2.604722665003955662e+00,-3.246278421105427275e-02,7.570904518044333997e+01,1.995430041293289047e-01,2.993145061939933571e-02,7.593851963519206549e+01,2.500011686291450275e+01
4.000000000000000083e-03,4.188790204786390525e+00,-1.299038105676657651e+01,1.299038105676658006e+01,-3.673940397442059967e-15,1.855139027710685923e-02,7.570904660089058780e+01,1.713442518927999481e-01,2.570163778391999082e-02,7.590609249056731755e+01,2.500012172867301530e+01
4.166666666666666609e-03,4.363323129985823279e+00,-1.409538931178862242e+01,1.149066664678467475e+01,2.604722665003948556e+00,7.179188931270678864e-02,7.570904802073111739e+01,1.966506083873707234e-01,2.949759125810560642e-02,7.593519622037659644e+01,2.500012659629645739e+01
4.333333333333333134e-03,4.537856055185256920e+00,-1.477211629518312108e+01,9.641814145298086558e+00,5.130302149885021201e+00,2.640900402341311154e-02,7.570904944111576640e+01,2.275519539837514427e-01,3.413279309756271640e-02,7.597073418819708479e+01,2.500013146619728133e+01
4.499999999999999660e-03,4.712388980384689674e+00,-1.500000000000000000e+01,7.499999999999999112e+00,7.499999999999989342e+00,-7.430946306634102997e-04,7.570905086216498603e+01,2.523993824130777441e-01,3.785990736196166023e-02,7.599931015194002271e+01,2.500013633792920587e+01
4.666666666666666186e-03,4.886921905584122428e+00,-1.477211629518312108e+01,5.130302149885032748e+00,9.641814145298077676e+00,6.409582678432850303e-03,7.570905228374854801e+01,2.491756169556337275e-01,3.737634254334505635e-02,7.599560424324752717e+01,2.500014120942287832e+01
4.833333333333333579e-03,5.061454830783555181e+00,-1.409538931178862775e+01,2.604722665003960547e+00,1.149066664678465877e+01,-2.487852067013058069e-02,7.570905370526256206e+01,2.130085033889532742e-01,3.195127550834298696e-02,7.595401348415985865e+01,2.500014607824978086e+01
5.000000000000000104e-03,5.235987755982988823e+00,-1.299038105676657828e+01,-4.824367949029909654e-15,1.299038105676658184e+01,1.835624696271399153e-02,7.570905512599848919e+01,1.801130650027653879e-01,2.701695975041480680e-02,7.591618515075167295e+01,2.500015094465109655e+01
5.166666666666666630e-03,5.410520681182421576e+00,-1.149066664678467120e+01,-2.604722665003956994e+00,1.409538931178862597e+01,4.937014136247541013e-02,7.570905654602655943e+01,2.083625741118483865e-01,3.125438611677725659e-02,7.594867350625517588e+01,2.500015581313430602e+01
5.333333333333333155e-03,5.585053606381854330e+00,-9.641814145298093663e+00,-5.130302149885030083e+00,1.477211629518312108e+01,1.937567621012482866e-02,7.570905796666212950e+01,2.389778261382581870e-01,3.584667392073872388e-02,7.598388246672112700e+01,2.500016068387380841e+01
5.499999999999999681e-03,5.759586531581287083e+00,-7.500000000000007105e+00,-7.499999999999995559e+00,1.500000000000000000e+01,2.646465435514896037e-03,7.570905938795610268e+01,2.646435599106128356e-01,3.969653398659192534e-02,7.601339948185329831e+01,2.500016555650473293e+01
5.666666666666666206e-03,5.934119456780719837e+00,-5.130302149885041629e+00,-9.641814145298083005e+00,1.477211629518312108e+01,-2.378758227810970002e-02,7.570906080980196862e+01,2.592881889759950376e-01,3.889322834639925147e-02,7.600724222712436529e+01,2.500017042874026529e+01
5.833333333333332732e-03,6.108652381980153478e+00,-2.604722665003955662e+00,-1.149066664678467653e+01,1.409538931178862953e+01,-2.996459962724355025e-02,7.570906223153252768e+01,2.205443411857810343e-01,3.308165117786715514e-02,7.596268822389617981e+01,2.500017529811907835e+01
